comment_id,text_model,annotator_id,social_group,label,fraction_agreement,label_model,probs,brier_score,avg_brier_score,Q1,Q2,Q3,brier_score_model,num_annotators
Ugw-4AhDDIPtUPBMNjZ4AaABAg,"On stage, she's acting, off stage - That's ellen, that's real.",80514039f2440568f87657f295d732a1,1,1.0,50.0,1,"{""1"": 0.761252760887146, ""2"": 0.10879387706518173, ""3"": 0.06560860574245453, ""4"": 0.06434483081102371}",0.019320274567613,0.019320274567613,0.019320274567613,0.019320274567613,0.019320274567613,0.14994665501118604,1
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,"… and here comes Ted Cruz, carrying what appears to be the final nail in the Ellen coffin",276cbe932710f817028a14564a543ae3,0,2.0,42.857142857142854,1,"{""1"": 0.7351008057594299, ""2"": 0.11134881526231766, ""3"": 0.0757361352443695, ""4"": 0.0778142660856247}",0.3354662862380118,0.3354662862380118,0.3354662862380118,0.3354662862380118,0.3354662862380118,0.14114069386917066,1
Ugw-8Nqin-FLbUbF6114AaABAg,"Helen is such a hypocrite, tells people to be nice and not bully people. Helen is going to be nice to celebrities of course she is..",276cbe932710f817028a14564a543ae3,0,2.0,28.57142857142857,4,"{""1"": 0.03550267592072487, ""2"": 0.14776170253753662, ""3"": 0.10527527332305908, ""4"": 0.7114603519439697}",0.311207317805183,0.311207317805183,0.311207317805183,0.311207317805183,0.311207317805183,0.13508816907395138,1
Ugw-Coi_2IQKUwIZnN14AaABAg,"It's not about being racist but respecting the original created characters who we have grown up with and loved whatever characteristics they may have. We even have Princess and the Frog, Mulan, Moana, and Encanto showing different ethnicity including their culture. We can create new characters that would serve as a role model for generations to come.",276cbe932710f817028a14564a543ae3,0,1.0,85.71428571428571,1,"{""1"": 0.9806761145591736, ""2"": 0.008369379676878452, ""3"": 0.0017219046130776405, ""4"": 0.009232594631612301}",0.0001329162059585,0.0001329162059585,0.0001329162059585,0.0001329162059585,0.0001329162059585,0.24047097348554533,1
Ugw-XhqZFNM7Z1aSiMt4AaABAg,If Ted Cruz is in your corner.....you're a loser.,5b0a7f3d17b66540674a4305eb32604e,0,3.0,57.14285714285714,1,"{""1"": 0.6768220663070679, ""2"": 0.16269458830356598, ""3"": 0.08976493030786514, ""4"": 0.07071835547685623}",0.3295216516005581,0.3295216516005581,0.3295216516005581,0.3295216516005581,0.3295216516005581,0.12440411675449067,1
Ugw-XkoygOhQH9eyR814AaABAg,"Clarification of some jewish terms:


A major jewish publication, the Jewish Chronicle, reveals that the jewish word for gentile (ie - non-jewish) woman is the offensive Yiddish word 'shiksa' - meaning 'whore'. It is derived from the hebrew root 'sheigetz' (ie - 'abomination'). It is also pointed out that a little gentile girl is called a 'shikselke', and it means 'little female abomination'. Even the terms 'gentile' and 'goy/goyem' are extremely derogatory and offensive. It is derived from the old Yiddish terminology which means 'heathen' and 'animal like'. (The jewish chronicle, May 17, 1991, 'Some carefully and carelessly chosen words', by C. Bermant).


Shiksa - the jewish term for a gentile (non-jewish) woman, from the root word 'sheigetz', meaning 'abomination' or 'whore'.


Shikselke - A gentile (non-jewish) little girl, meaning 'little female abomination'.


HERE ARE ACTUAL VERSES FROM THE TALMUD. FULLY REFERENCED:


1) talmud sanhedrin 59a, page 400, soncino edition, 1935.

A heathen (gentile/non-jew) who pries into the torah and other jewish scriptures is condemned to death, for it is written, it is OUR inheritance, not theirs.


2) 57a Gittin, London, soncino press, page 261, translated by M. Simon 1936.

Balaam (Jesus) is raised from the dead and being punished in boiling hot semen. Those who mock the words of the jewish sages and sin against israel are boiled in hot excrement.


3) talmud sanhedrin, baba mezia, 114a-114b.

Only jews are human. Gentiles are animals.


4) talmud sanhedrin 57a, page 388, soncino edition 1935.

For murder, whether of a Cuthean (gentile) by a Cuthean, or of an israelite by a Cuthean, punishment is incurred; but of a Cuthean by an israelite, there is no death penalty.


5) babylonian talmud. Funk &amp; wagnall's jewish encyclopaedia, 1907, gentile, page 617.

Even the best of the gentiles should be killed.


6) talmud, moed kattan, baba mezia, 114a-114b, soncino edition 1935, talmud sanhedrin.

If a jew is tempted to do evil, he should go to a city where he is not known and do the evil there.


7) Funk &amp; Wagnall's jewish encyclopaedia, 1907, gentile, page 621.

Gentiles' flesh is as the flesh of asses and whose issue is like the issue of horses.


8) talmud sanhedrin, 58b, page 398, soncino edition. 1935.

If a heathen (gentile) hits a jew, the gentile must be killed. Hitting a jew is hitting God.


9) talmud, babba kamma, 37b, page 211, soncino edition, 1935.

If an ox of an israelite gores an ox of a Canaanite, there is no liability. But if an ox of a Canaanite (gentile) gores an ox of an israelite, the payment is to be in full.


10) talmud baba mezia 24a, also affirmmed in baba kamma 113b, talmud sanhedrin, page 666, soncino edition, 1935.

If a jew finds an object lost by a heathen (gentile), it does not have to be returned.


11) talmud sanhedrin, 76a, page 470, soncino edition, 1935.

God will not spare a jew who marries his daughter to an old man or takes a wife for his infant son or returns a lost article to a Cuthean (gentile).


12) talmud sanhedrin, 57a, page 388, soncino edition, 1935.

What a jew obtains by theft from a Cuthean (gentile), he may keep.


13) talmud, babba kamma, 37b, soncino edition, 1935.

Gentiles are outside the protection of the law and God has exposed their money to israel.


14) talmud, babba kamma, 113a, page 664-665, soncino edition, 1935.

Jews may use lies (subterfuges) to circumvent a gentile.


15) talmud yebamoth, 98a, soncino edition, 1936.

All gentile (non-jew) children are animals.


16) talmud, abodah zarah, 22a-22b, soncino edition, 1935.

Gentiles prefer sex with cows.


17) talmud, abodah zarah, 67b, soncino edition, 1935.

The vessels of gentiles, do they impart a worsened flavour to the food cooked in them?.


18) talmud sanhedrin 105a-b, page 717, soncino edition, 1935.

Balaam (Jesus) fornicated with his jackass.


19) 57a Gittin, talmud sanhedrin, pg.261, soncino press 1936, translated by Simon M. Trans

jewish priests raised balaam (Jesus) from the dead and punished him in boiling hot semen.


20) talmud sanhedrin 106a and 105a-b, pg.726, soncino edition 1935.

She who was the descendant of princes and governors (the virgin Mary), played the harlot with a carpenter.


21) talmud sanhedrin, 52b, pg.356, soncino edition, 1935.

Jesus was lowered into a pit of dung upto his armpits. Then a hard cloth was placed within a soft one, wound round his neck and the two ends pulled in opposite directions until he was dead.


22) talmud sanhedrin 106 soncino 1935 edition &amp; jewish encyclopaedia, balaam, pg.469.

Hast thou heard how old balaam (Jesus) was?. Bloody and deceitful men shall not live out half their days. It follows that he was thirty three or thirty four years old.


23) talmud sanhaedrin 90a, soncino edition 1935.

Those who read the uncanonical books (new testament), will have no portion in the world to come.


24) talmud sanhedrin 116a, soncino edition 1935.

jews must destroy the books of the christians.


25) The jewish press, (1988).Feb.19.8C.

'Marriage to a gentile can never be sanctioned or condoned. Such a liaison classifies the woman as 'zona'. Common parlance interprets the term 'zona' to refer to a prostitute.


A leading zionist academic, reported that the zionists publicly and ceremoniously burned hundreds of copies of the new testament in Jerusalem on March 23, 1980. They were destroyed under the auspices of yad le'akhim, a jewish religious organisation subsidized by the israeli ministry of religions (I. Shahak, jewish history, jewish religion, 1994, page 21). Furthermore, Dr. Shahak wrote -


'jewish children are actually taught passages such as that which commands every jew, whenever passing near a cemetery, to utter a blessing if it is jewish, but to curse the mothers of the dead if it is non-jewish. It became customary to spit (usually three times) upon seeing a church or a crucifix'. By I. Shahak, jewish history, jewish religion, page 23 &amp; 93, 1994 edition.

Furthermore, Dr. Shahak quoted the very popular, israeli published 'talmudic encyclopaedia', which discusses the relationship between jew and goy ('goy' meaning any non-jew):


'If a jew has coitus (sexual intercourse) with a gentile woman, whether she be a child of three or an adult, whether married or unmarried and even if she is a minor aged only nine years and one day old - because he had willful coitus with her, she must be killed and as is the case with a beast, because through her, a jew got into trouble' (Chapter 'Goy', talmudic encyclopaedia). By I. Shahak, jewish history, jewish religion, page 87, 1994 edition.",5f564ffcb50cab0ead68060d76b72988,1,1.0,42.857142857142854,4,"{""1"": 0.025767402723431587, ""2"": 0.006890527438372374, ""3"": 0.006373490672558546, ""4"": 0.960968554019928}",0.4681694540407829,0.4681694540407829,0.4681694540407829,0.4681694540407829,0.4681694540407829,0.23105315540249874,1
Ugw-z2euYCdy_8PlvCp4AaABAg,This audio sounds like made by ai.,80514039f2440568f87657f295d732a1,1,2.0,66.66666666666666,1,"{""1"": 0.9638707041740417, ""2"": 0.018610462546348572, ""3"": 0.005670796148478985, ""4"": 0.01184805203229189}",0.4730861732135931,0.4730861732135931,0.4730861732135931,0.4730861732135931,0.4730861732135931,0.2323914044867674,1
Ugw-zAoUth-zJSm-Rk14AaABAg,Kanye is just tryna get attention &amp,276cbe932710f817028a14564a543ae3,0,2.0,57.14285714285714,1,"{""1"": 0.5643219947814941, ""2"": 0.16344138979911804, ""3"": 0.11826696991920471, ""4"": 0.1539696604013443}",0.2639958386483428,0.2639958386483428,0.2639958386483428,0.2639958386483428,0.2639958386483428,0.09571653354790183,1
Ugw0Azrl35Lsi3YKzEp4AaABAg,"That’s Ai generated, don’t let this fool you",2dc0ccbf44154f06a0a8bf39a76e3e25,1,2.0,40.0,3,"{""1"": 0.11062567681074142, ""2"": 0.10651305317878723, ""3"": 0.3946130871772766, ""4"": 0.38824817538261414}",0.2792532746923093,0.2792532746923093,0.2792532746923093,0.2792532746923093,0.2792532746923093,0.08250980128170295,1
Ugw0LNU6yznhlqbjGHx4AaABAg,When a news segment is about someones tweet lmao. get a soul why dont ya,9353d091e26ba7e7bc594983cdf2d8ac,1,1.0,50.0,1,"{""1"": 0.5176807045936584, ""2"": 0.16071440279483795, ""3"": 0.07110687345266342, ""4"": 0.25049805641174316}",0.0815666214263112,0.0815666214263112,0.0815666214263112,0.0815666214263112,0.0815666214263112,0.09040697372314051,1
