text_id,target,text,annotator_id,stakeholder,stance,acceptability,sample,comment,care,fairness,loyalty,authority,purity,cluster,Gender identity,annotation_id
UgzxCWq3_gcsGAjM84F4AaABAg,J K Rowling,"Except they never apologised, because they have nothing to apologise for. She’s like, “I’ll never forgive them!”, and they’re like “GOOD.” JK Rowling is a disgusting, disappointing POS who is nothing more than a shit stain on humanity that the whole world would be better off without. Daniel and Emma have spoken out against her nasty TERFy opinions and called her out for being the soulless, heartless bitch that she is. She’s exposed herself with her vitriol-laden rants against some of society’s most marginalised, vulnerable, and misunderstood individuals. Daniel and Emma have more integrity and moral fibre than JK ever could. Good on them for standing up to her and making their positions so very clear. I’m glad that they haven’t been tainted by her toxic views and personality.",5f564ffcb50cab0ead68060d76b72988,researcher,1.0,4.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_1
Ugw_A2lJFEQ2Fefj-jd4AaABAg,J K Rowling,You are NOT obligated to except a disingenuous apology that's designed to simply save their arses from backlash.😑,5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,2.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_2
UgxttHoGKu9WnRkiCS54AaABAg,J K Rowling,Daniel who? Emma who? Names that nobody will remember. But Harry Potter and Hermione Granger will be remembered forever no matter who plays the part. Just don’t let Disney near the franchise.,5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,2.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_3
Ugz8CvG6DEJbJf1UDwR4AaABAg,J K Rowling,Emma Watson and Daniel Ratcliffe would be stacking shelves in Tesco today had it not been for JK Rowling! Undeniably stupid these so called stars being so quick to jump on the transgender wagon train degenerating Women!,5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,3.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_4
Ugy7Lpn9YaMbhy5gQyt4AaABAg,J K Rowling,"I have a lot of time and even more respect for JK Rowling. I might not agree with ALL her views, but when she's right holy moly is she right. Only one thing: none of these celebretards apologized. Nor will they. Ever. 

Where's all the apologies from prominent people who ran amok on the whole virus of unspecified origin routine? A List Hollywood stars saying who cares about civil rights, use force. Where's the long line of THEM apologizing? It's not going to happen. The only way any of those people have ever or will ever apologize is when not doing so will cost them - BIG. Just ask John Cenna.",5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,1.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_5
UgyjBAksScdBGvxBKTt4AaABAg,J K Rowling,"Hi Rita. I love your work. But you are pronouncing ""Rowling"" incorrectly. Rowling rhymes with bowling, as in cricket bowling.

You are an Aussie. Surely you know how to pronounce bowling. I know you want to support JK's position on this so please, say her name correctly.",5f564ffcb50cab0ead68060d76b72988,researcher,0.0,1.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_6
UgyYN-G3n0rDuOmpaQF4AaABAg,J K Rowling,Ingrates.,5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,2.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_7
Ugx7Vr3XL3Wgva1mwzl4AaABAg,J K Rowling,Amen JK🙌,5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,1.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_8
UgwEck6OaQXVFpN1zOV4AaABAg,J K Rowling,"emma only knew how to act,,thats all she got,,stop pretending you knew something emma,you just follow the script🤣",5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,3.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_9
UgwXythR9nFubOa2HIV4AaABAg,J K Rowling,"I am with JK 100 percent. These youngsters anmrw so ignorant, shallow and idiotic.",5f564ffcb50cab0ead68060d76b72988,researcher,-1.0,4.0,sample_0,nan; nan,4.166666666666667,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0,Female,annotation_10
